sample_id,local_sample_id,batch_start,batch_end,batch_name,sample_id_mode,sample_id_warning,file,file_path,relative_path,parent_dir,suffix,sample_slot,well_start,well_end,sample_layout
77,39,1,1600,结果1-1600,two_per_file,,检测结果 (39).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (39).csv,结果汇总\结果1-1600\10-99\检测结果 (39).csv,10-99,.csv,1,1,15,two_per_file_15x2
78,39,1,1600,结果1-1600,two_per_file,,检测结果 (39).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (39).csv,结果汇总\结果1-1600\10-99\检测结果 (39).csv,10-99,.csv,2,16,30,two_per_file_15x2
79,40,1,1600,结果1-1600,two_per_file,,检测结果 (40).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (40).csv,结果汇总\结果1-1600\10-99\检测结果 (40).csv,10-99,.csv,1,1,15,two_per_file_15x2
80,40,1,1600,结果1-1600,two_per_file,,检测结果 (40).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (40).csv,结果汇总\结果1-1600\10-99\检测结果 (40).csv,10-99,.csv,2,16,30,two_per_file_15x2
81,41,1,1600,结果1-1600,two_per_file,,检测结果 (41).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (41).csv,结果汇总\结果1-1600\10-99\检测结果 (41).csv,10-99,.csv,1,1,15,two_per_file_15x2
82,41,1,1600,结果1-1600,two_per_file,,检测结果 (41).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (41).csv,结果汇总\结果1-1600\10-99\检测结果 (41).csv,10-99,.csv,2,16,30,two_per_file_15x2
83,42,1,1600,结果1-1600,two_per_file,,检测结果 (42).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (42).csv,结果汇总\结果1-1600\10-99\检测结果 (42).csv,10-99,.csv,1,1,15,two_per_file_15x2
84,42,1,1600,结果1-1600,two_per_file,,检测结果 (42).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (42).csv,结果汇总\结果1-1600\10-99\检测结果 (42).csv,10-99,.csv,2,16,30,two_per_file_15x2
85,43,1,1600,结果1-1600,two_per_file,,检测结果 (43).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (43).csv,结果汇总\结果1-1600\10-99\检测结果 (43).csv,10-99,.csv,1,1,15,two_per_file_15x2
86,43,1,1600,结果1-1600,two_per_file,,检测结果 (43).csv,..\medicaldata\结果汇总\结果1-1600\10-99\检测结果 (43).csv,结果汇总\结果1-1600\10-99\检测结果 (43).csv,10-99,.csv,2,16,30,two_per_file_15x2
